Name|Tier|Duration|Difficulty|Upgrades|Penalty|SpecialModifier|Modifier|Description
Detect Magic|Initiate|1 hour|2|0|0||Increase Difficulty of check by 2|You are able to see a slight magical aura around all magical items and spell-affected areas within Short range. While this spell is active, add 2 Boost dice to Arcana checks made to identify magical properties.
Find Person / Object|Initiate|Instantaneous|1|0|2||Increase Difficulty by 1, add 2 Penalty dice|Choose a specific object or creature known to you by name or appearance. If that object is within Ballistic range of the target, the target knows the direction and range band it falls in.
Haste|Initiate|3 rounds|1|0|0||Increase Difficulty by 1|Target has their Movement Point Max increased by 2. If another spell including Haste is cast on the same target while this effect is active, the new casting replaces the current one.
Heal|Initiate|Instantaneous|2|1|0||Increase Difficulty by 2, upgrade Difficulty 1 time|Heal 2 Hit Points.
Hinder|Initiate|1 round|0|1|0||Upgrade Difficulty 1 time|The target upgrades the Difficulty of all checks on their next turn 1 time.
Send Message|Initiate|1 minute|1|0|0||Increase Difficulty by 1|Establish a telepathic link to a known intelligent creature. Either party may mentally speak to each other for the duration. The link ends if either party moves beyond Extreme range, or if either party chooses to end the link. For each additional node of this spell, increase the duration by 1 minute. You may spend 1 Stamina as an Incidental to refresh the duration of this spell effect, including increased duration, anytime before this spell would end. If mutliple creatures are targeted by this spell, they can also mentally speak to each other.
Shockwave|Initiate|Instantaneous|0|1|1||Upgrade Difficulty 1 time, add 1 Penalty die|Deal 1 damage (ignoring Damage Reduction) and push the target 5 cm directly away from you. The target then must pass a Difficulty 3 Coordination check or gain the Prone state. Additional nodes of this effect deal an additional 1 damage and push the target an additional 5 cm. Silhouette 4 or larger creatures automatically pass the Coordination check and are not pushed back. 
Water Breathing|Initiate|1 hour|1|0|0||Increase Difficulty by 1|The target gains the ability to breathe under water for the duration. For each additional node of this spell, increase the duration by 1 hour. You may spend 1 Stamina as an Incidental to refresh the duration of this spell effect on all targets within extreme range, extra nodes included, anytime before this spell would end.
Water Walking|Initiate|1 hour|0|0|1||Add 1 Penalty die|The target gains the ability to walk on the surface of any body of water as if it were solid ground. You may spend 1 Stamina as an Incidental to refresh the duration of this spell effect on all targets within extreme range, extra nodes included, anytime before this spell would end.
Animate Corpse|Adept|1 minute|1|2|0||Increase Difficulty by 1, upgrade Difficulty of check 2 times|Target corpse of a humanoid (playable race, except Construct) is reanimated as your choice of Skeleton or Zombie. Each Skeleton or Zombie is a Temporary Follower, and takes up 1 follower slot. The Animated Corpse is immediately hostile to you if you pass the spell check and roll 1 or more Calamity, but you may spend 1 Conquest to negate this effect.
Arcane Shield|Adept|Reaction|0|1|0||Upgrade check 1 time|As a Reaction, when a creature makes a successful attack against the target, roll a Challange die and add the result to the attacker's roll. For each node of this spell effect beyond the first, roll a Penalty die and add the result to the attack roll. 
Conjure Weapon|Adept|1 hour|1|0|0||Increase Difficulty by 1|Create any Light Weapons or Brawl weapon. The weapon is identical in stats to a physical one, but is made of pure magic instead of any other material. When summoned, choose fire damage or any other type that you can cast using the Damage spell effect. You may add additional nodes for the following benefits: 1 node = another weapon, 1 attachment to all weapons conjured (maximum 2), 2 nodes = 1 Masterwork attatchment on all weapons conjured (maximum 1)
Create Darkness|Adept|1 hour|0|0|2||Add 2 Penalty dice|Decrease the light level within Short range of the target by 1. This light level cannot be increased or decreased by non-magical means, but can be modified by subsequent magical means.
Detect Creatures|Adept|Instantaneous|2|0|0||Increase Difficulty by 2|Upon success, you learn the direction and approximate distance (range band) of any creatures with the creature type of a type you choose.
Dispel Effect|Adept|Instantaneous|1|0|0||Increase Difficulty by 1|Choose one spell effect from the Scholarly magic spell effects list with a duration greater than instantaneous. Add the Casting modifier for the chosen effect to your Scholarly Magic check to cast Dispel Effect. If the casting check is successful, this effect is removed from all targets that are currently being affected by it. If the chosen spell effect is Dread Summoning and you succeed on your spellcasting check, make another Difficulty 2 Scholarly Magic check opposed by a Scholarly magic check from the caster of the Dread Summoning effect. If you fail this check the effect is not dispelled. 
Magical Resistance|Adept|10 minutes|0|1|1||Upgrade Difficulty of check 1 time, add 1 Penalty die|For each node of this effect, gain Resist 1 to two different non-Physical, non-Silver damage types. You can select the same damage type multiple times, and multiple nodes of this spell can stack. If another spell including Magical Resistance is cast on the same target while this effect is active, the target chooses to keep the previous casting or replace it with the current one.
Heat / Cool Object|Adept|5 rounds|1|1|0||Increase Difficulty by 1, upgrade check 1 times|This spell must target a piece of equipment made of metal. The creature wearing or holding it takes 1 damage (ignoring Damage Reduction) at the beginning of each of their turns (Fire if item is heated, Cold if item is cooled) they choose to hold or wear it. Add 1 Penalty die to all checks made that involve the item. Any given item an only be affected by one node of this spell effect at any time.
Inflict Condition|Adept|Various|0|2|0||Upgrade Difficulty 2 times|When you cast this spell, choose one of the following Conditions: Bleeding, Burning, Poisoned, or Sickened. Target must make a Difficulty 3 Resilience check. If they fail, they gain the Condition. The Deafened and Sickened Conditions last for 3 turns, and the others until they are resolved.
Magical Ward|Adept|1 hour|0|0|2||Add 2 Penalty dice|Damage Reduction +2. Whenever the target of this spell takes damage from an effect that does not bypass Damage Reduction, lose 1 Stamina. This spell effect may be ended by the caster at any time on their turn, or after the one of the targets takes damage from an effect that does not bypass Damage Reduction. This spell effect does not stack with itself.
Mend Object|Adept|Instantaneous|0|2|0||Upgrade Difficulty of check 2 times|Target object is improved in Condition by 1. If a magical item is targeted by this spell, increase the Difficulty of casting this spell by 2. Succeeding on this check but generating Calamity will reduce the Condition of the item by 1 instead.
Open Lock|Adept|Instantaneous|0|1|0|lock|Upgrade Difficulty by 1|The base Difficulty of this spell is set by the highest difficulty of targeted lock(s). If you succeed, the lock(s) opens, and if you fail, it doesn't. The lock(s) break if you roll 3 Disadvantage or a Calamity, making further attempts to open it impossible.
Silent Steps|Adept|10 minutes|2|0|0||Increase Difficulty by 2|Increase the Difficulty by 2 of Perception checks to detect targeted characters using sound.
Sunder Object|Adept|Instantaneous|2|0|2||Increase Difficulty by 2, add 2 Penalty dice|Target object is reduced in Condition by 1. If a magical item is targeted by this spell, increase the Difficulty of casting this spell by 2. 
Slow Fall|Adept|10 minutes|1|0|0||Increase Difficulty by 1|The target does not take falling damage for the duration. For each additional node of this spell, increase the duration by 1 minute.
Torch Light|Adept|1 hour|1|0|2||Increase Difficulty by 1, add 2 Penalty dice|If cast on one or multiple targets, each of those targets sheds light as if they were carrying a torch with them (moving where they go). This spell effect cannot be cast as an area-target spell.
Stoneskin|Adept|1 hour|1|0|0||Increase Difficulty by 1|As long as you aren't wearing armor, you gain 1 temporary Damage Reduction, plus one for each node of this effect in your spell. Each time you are successfully hit, reduce this Damage Reduction by 1, regardless of the damage done. If another spell including Stoneskin is cast on the same target while this effect is active, the new casting replaces the current one if the target is willing.
Influence Emotions|Adept|2 rounds|0|1|0||Upgrade Difficulty 1 time|The target upgrades the Ability or Difficulty (chosen at time of casting by the caster) of all Cool, Discipline, and Insight checks 2 times. For each additional node of this spell, increase the duration by 1 round.
Remove Condition|Adept|Instantaneous|0|3|0||Upgrade Difficulty 3 times|For each node, choose one of the following Conditions: Bleeding, Blinded, Burning, Charmed, Deafened, Disoriented, Frightened, Poisoned, or Sickened. This Condition is removed from all targets.
Comprehend Languages|Magister|1 hour|2|0|0|languages|Difficulty 2 for Common languages, Difficulty 4 for Rare languages|You can read, understand, and speak one common or rare language. This does not extend to ancient, encoded, or intentionally obscure languages (including Thieves Cant).
Conjure Item|Magister|1 hour|2|0|0||Increase Difficulty by 2|Creature a slightly translucent magical version of any non-magical, non-weapon, non-armor item that has a Rarity of 3 or less and an Encumbrance 4 or less. It lasts for the spell's duration, until Broken, or until dismissed. 
Control Monster|Magister|1 hour|1|2|0|enemyType|Increase Difficulty by 1, upgrade check 2 times, then add 0 Penalty dice for a Minion target, 2 Penalty dice for a Rival, and 4 Penalty dice for a Nemesis. |Target non-humanoid, non-Legendary creature of Intellect 2 or less must make a Discipline skill check against the uncancelled successes of the roll you made to cast this spell. If they fail, they are now under your control for the spell's duration or until dismissed. If the creature takes damage it will make another Discipline check, opposed by your Scholarly Magic skill check. If it succeeds, it is no longer under your control and becomes hostile. You can only have one of these creatures under your control at a time, and it does not count towards the number of creatures you can control.
Corpse Explosion|Magister|Instantaneous|1|2|0||Increase Difficulty by 1, upgrade Difficulty 2 times|Target corpse explodes, dealing (3 + target Silhouette) Physical damage, (ignoring Damage Reduction) to all creatures within Engaged range. Each affected creature must pass a Difficulty 3 Resilience check or gain the Sickened Condition for 1 minute. 
Counterspell|Magister|Reaction|0|0|0||- |As a Reaction when a creature declares their intent to cast a specific spell, cast this spell opposed by the target's Scholarly Magic or Innate Magic skill but based on their Cunning, adjusting the Difficulty of your check by the range, etc. If you succeed, the targeted spell fails to have any effect, and the targeted creature does not lose Stamina for casting their spell. If your Counterspell fails, the targeted spell resolves normally. 
Create Storm|Magister|1 hour|3|0|0||Increase Difficulty by 3|Create a Moderate Weather Effect, centered on a chosen point. This storm affects everything within Extreme Range of the target point, only works outdoors, and gives all creatures it affects Resist Fire: 2 and Weakness Lightning: 2.
Detect Thoughts|Magister|10 minutes|1|0|0||Increase Difficulty by 1|Target humanoid must make a Discipline skill check, with a Difficulty equal to the number of nodes of this spell effect included in your spell. If they succeed, you are unable to detect any of their thoughts and they know someone was trying to read their thoughts. If they fail, you are able to understand all of what they are currently thinking, and they do not know someone is actively perceiving their thoughts. This effect ends immediately if the target moves beyond Extreme range of you.
Disguise|Magister|1 hour|1|0|0||Increase Difficulty by 1|The target takes on the physical appearance of, and gains a vocal approximation of, another humanoid creature, chosen by the caster, of the same Silhouette as themself. Creatures within Medium range can see through the disguise if they pass a Perception check with Difficulty equal to the number of nodes of this effect cast on the target. The difficulty of this check is reduced by 2 (min 0) if the creature is touching the target. This effect can be ended early as an incidental by the caster or the target, and the target of this effect can choose to continue their disguise for another hour by spending 1 Stamina when this effect would end.
Fly|Magister|10 Minutes|1|0|0||Increase Difficulty by 1|The target gains Flying 1 for the duration. For each additional node of this spell, increase the duration by 10 minutes. You may spend 1 Stamina as an Incidental to refresh the duration of this spell effect on all targets within extreme range, extra nodes included, anytime before this spell would end.
Gaseous Form|Magister|2 rounds|1|2|0||Increase Difficulty by 1, upgrade Difficulty 2 times|You can squeeze through very small places (under doors, through prison bars, down chimneys, etc.), though not through solid walls. Take half damage (round up) from all sources, calculated after Damage Reduction and Resistances. You can still interract with things normally. Reduce target's Movement Point Max by 10 (to a minimum 1). For each additional node of this spell, increase the duration by 1 round.
Ghostwalk|Magister|1 minute|0|1|1||Upgrade Difficulty 1 time, add 1 Penalty die|Take on a ghostly appearance, counting as being in Extensive Cover. Additionally, roll a d100 every time you make a skill check, a skill check is made against you (including attacks), or you would take damage from falling or Conditions; there is a 30% chance, plus 10% for each additional node of this spell effect, that the skill check fails or that you don't take damage. Either caster or target can end this effect as an Incidental.
Paralyzing Fear|Magister|3 rounds|2|2|0||Increase Difficulty by 2, upgrade check 2 times|At the beginning of each of the affected creature's turns, it must succeed on a Difficulty 4 Discipline check or gain the Frightened Condition. If the creature already has the Frightened Condition, its Movemant Point Max are reduced to 0. If the creature has already had their Movement Point Max reduced to 0 by this spell, they gain the Paralyzed Condition. A creature cannot be affected by more than one instance of this spell effect at one time.
Slow|Magister|3 rounds|1|1|0||Increase Difficulty by 1, upgrade check 1 time|Target has their Movement Point Max reduced by 5, to a minimum of 5.
True Sight|Magister|1 hour|1|0|1||Increase Difficulty by 1, add 1 Penalty die|The target gains True Sight for the duration. For each additional node of this spell, increase the duration by 1 hour. You may spend 1 Stamina as an Incidental to refresh the duration of this spell effect on all targets within extreme range, extra nodes included, anytime before this spell would end.
Summon Familiar|Magister|Permanent|0|2|0||Upgrade Difficulty 2 times|After 1 hour of uninterupted concentration, summon a familiar. This familiar is considered a pet. Use the Pets/Mounts tab to create a Pet, but you must choose the Skill archetype. You can see and hear what your familiar can see and hear at all times. - The Summoned Familiar is immediately hostile to you if you pass the spell check and roll 1 or more Calamities, but you may spend 1 Conquest to negate this effect.
Dread Summoning|Arcanist|Permanent|0|2|0||Upgrade Difficulty 2 times|After 1 hour of uninterupted concentration, summon followers from the undead followers list. The total follower points of these followers cannot exceed the number of corpses targeted. If the spell is successful the corpses are consumed.
Impede Movement|Arcanist|3 rounds|1|0|1||Increase Difficulty by 1, add 1 Penalty die|Target loses their free Maneuver.
Inflict Weakness|Arcanist|5 rounds|1|1|1||Increase Difficulty by 1, Upgrade Difficulty 1 time, add 1 Penalty die|Choose a non-Physical, non-Silver damage type. Reduce the target(s) Resistance to that damage by 1. If this reduces the target(s) Resist to below 0, then they gain Weakness equal to the remaining reduction. Alternatively, the spell effect can reduce Immunity to a damage type to Resist 5 to that damage type. If this spell is used to reduce Immunity, increase the Difficulty of the casting check by 1, in addition to the regular casting modifier. If another spell including Inflict Weakness is cast on the same target while this effect is active, the new casting replaces the current one.
Polymorph|Arcanist|1 minute|0|2|0||Upgrade Difficulty 2 times|The target must make a Discipline check with Difficulty equal to the number of nodes of this spell effect cast on the target. If they fail, roll a d100, adding 10 to the roll for each Calamity rolled on your spell check, and subtracting 10 for each Conquest rolled on your spell check - the target, including what they are wearing and carrying, is tranformed into the corresponding animal from the Polymorph Table. The target retains its Intellect score, memories, and disposition, but otherwise must use the stat block for the animal it was transformed into. If target is reduced to zero Hit Points while in animal form, it immediately reverts to its original form with whatever Hit Points it had before being transformed. 
Resurrection|Arcanist|Permanent|6|6|0||Add 6 Challenge dice|After 1 hour of uninterupted concentration, attempt to return a deceased non-Undead Humanoid to life. The body must be relatively intact, and have been dead for no more than 7 days. If you succeed and do not roll any Calamities, the creature is brought back to life at 1 Hit Point. If you succeed but roll any number of Calamities, you gain 1 level of Exhaustion for each Calamity rolled. If you fail your check but do not roll any Calamities, the dead body turns to ash. If you fail your check but roll at least 1 Calamity, the dead body is reanimated as a Zombie that is immediately hostile to all creatures.
Translocate|Arcanist|Instantaneous|0|0|0|unwillingTarget|Upgrade Difficulty 1 time for each unwilling target|For each creature targeted by this spell, you may move it to the location of another creature targeted by this spell. No more than one creature can end up at any one location.
Teleport|Arcanist|Instantaneous|1|1|0||Add 1 Challenge die|Each affected creature teleports to a point of their choosing that is visible to them and within the range band corresponding to the number of nodes chosen for this spell: 1 is Extended, 2 Short, 3 Medium, 4 Long, 5 Extreme, 6 Ballistic.
